seed,model,augmentation_ratio,real_train_size,synthetic_train_size,total_train_size,test_size,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds
82,XGBoost,75,54889,41167,96056,13723,0.737302,0.738149,0.726951,0.732507,0.799772,0.946
82,Logistic Regression,100,54889,54889,109778,13723,0.72251,0.715276,0.729602,0.722368,0.781253,0.11
82,Random Forest,100,54889,54889,109778,13723,0.73344,0.727022,0.738586,0.732759,0.796743,2.963
82,SVM,100,54889,54889,109778,13723,0.708008,0.704843,0.705155,0.704999,0.768744,0.611
82,XGBoost,100,54889,54889,109778,13723,0.734752,0.732369,0.731075,0.731722,0.798425,1.017
82,Logistic Regression,150,54889,82334,137223,13723,0.711725,0.689287,0.759941,0.722892,0.777334,0.145
82,Random Forest,150,54889,82334,137223,13723,0.730015,0.715764,0.753608,0.734199,0.793515,4.486
82,SVM,150,54889,82334,137223,13723,0.704511,0.674093,0.779823,0.723114,0.776603,0.833
82,XGBoost,150,54889,82334,137223,13723,0.73089,0.722007,0.741679,0.731711,0.797264,1.174
82,Logistic Regression,200,54889,109778,164667,13723,0.701814,0.667744,0.790869,0.72411,0.773435,0.155
82,Random Forest,200,54889,109778,164667,13723,0.72608,0.70729,0.761561,0.733423,0.791006,5.452
82,SVM,200,54889,109778,164667,13723,0.654449,0.604426,0.872901,0.714268,0.76086,0.638
82,XGBoost,200,54889,109778,164667,13723,0.729359,0.716315,0.750074,0.732806,0.795036,1.06
